[0, 1, 2, 3, 4, 5, 6, 7]
[0]
running on  <class 'twisted.internet.kqreactor.KQueueReactor'>
         1117 function calls (1115 primitive calls) in 19.773 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/abstract.py:431(startReading)
        4    0.000    0.000    0.000    0.000 /opt/python279/lib/python2.7/threading.py:147(acquire)
        1    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/base.py:939(callFromThread)
        2    0.000    0.000    0.000    0.000 /opt/python279/lib/python2.7/socket.py:192(close)
        1    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/posixbase.py:534(_removeAll)
       17    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/python/context.py:86(getContext)
       10    0.000    0.000    0.000    0.000 {fcntl.fcntl}
       36    0.000    0.000    0.000    0.000 {isinstance}
        1    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/posixbase.py:222(doRead)
        2    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/zope/interface/ro.py:58(_flatten)
       69    0.000    0.000    0.000    0.000 {getattr}
        2    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/posixbase.py:146(doRead)
        4    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/python/threadable.py:43(_synchPost)
        7    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/zope/interface/interface.py:514(__cmp)
       18    0.000    0.000    0.000    0.000 {setattr}
        2    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/defer.py:473(_startRunCallbacks)
       12    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/zope/interface/interface.py:545(__hash__)
       17    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/fdesc.py:44(_setCloseOnExec)
        2    0.000    0.000    0.000    0.000 {method 'accept' of '_socket.socket' objects}
        1    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/base.py:514(wakeUp)
       30    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/python/context.py:110(currentContext)
        2    0.000    0.000    0.000    0.000 {method 'shutdown' of '_socket.socket' objects}
        1    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/posixbase.py:208(install)
        1    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/base.py:1139(_handleSignals)
        2    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/fdesc.py:21(setNonBlocking)
        1    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/python/failure.py:347(check)
        1    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/posixbase.py:174(wakeUp)
        1    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/abstract.py:464(resumeProducing)
        8    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/python/reflect.py:358(qual)
        1    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/_signals.py:40(installHandler)
        2    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/fdesc.py:62(readFromFD)
       22    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        4    0.000    0.000    0.000    0.000 /opt/python279/lib/python2.7/threading.py:187(release)
       53    0.000    0.000    0.000    0.000 {len}
        1    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/tcp.py:185(__init__)
        2    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/zope/interface/interface.py:192(subscribe)
        1    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/protocol.py:473(makeConnection)
        1    0.000    0.000    0.000    0.000 {map}
        1    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/python/threadable.py:118(registerAsIOThread)
       31    0.000    0.000    0.000    0.000 {time.time}
        1    0.000    0.000    0.000    0.000 /opt/python279/lib/python2.7/socket.py:185(__init__)
       12    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/zope/interface/interface.py:218(<lambda>)
        1    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/python/threadable.py:104(getThreadID)
       17    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/tcp.py:1006(_buildAddr)
        1    0.000    0.000    0.000    0.000 /home/oberstet/python1/lib/python2.7/site-packages/twisted/internet/base.py:586(crash)
        3    0.000    0.000    0.000    0.000 {signal.signal}
