"repo_name","ref_name","ref_sha1"
"crossbario/autobahn-js","refs/tags/v0.9.2^{}","3fe0368f031485ef095dde212688173689c482f1"
"crossbario/autobahn-js","refs/tags/v0.9.3","210850c67cf90c4410cb95125b3b1b3ee54e24a3"
"crossbario/autobahn-js","refs/tags/v0.9.3^{}","9a257114ba4e725668fb3496a957de165b1e977e"
"crossbario/autobahn-js","refs/tags/v0.9.4","e2a6dd4cfa8f3a70bef47a57f82e68a1458d23dc"
"crossbario/autobahn-js","refs/tags/v0.9.4^{}","e6936d63660639088e004caaec109394ace4493b"
"crossbario/autobahn-js","refs/tags/v0.9.4-2","2db28bc883f276c67a31ff07d095276a6700b1f9"
"crossbario/autobahn-js","refs/tags/v0.9.4-2^{}","5408bd8748a1debe1b234e04411fc549b44d82b3"
"crossbario/autobahn-js","refs/tags/v0.9.5","8eb344b35e8e68dd34f7a41e50f688287809f511"
"crossbario/autobahn-js","refs/tags/v0.9.5^{}","a9be29b7a5b057cdcffbb3dc8d8ed45010390b2d"
"crossbario/autobahn-js","refs/tags/v0.9.6","c9dd6cc8b33093034ea6481891dced8258646897"
"crossbario/autobahn-js","refs/tags/v0.9.6^{}","34ab0266d990b06aa01c37e2080becb6331abea9"
"crossbario/autobahn-js","refs/tags/v0.9.7","db70b7eb18034d25b66117a475a79a9a4536894f"
"crossbario/autobahn-js","refs/tags/v0.9.7^{}","3e7f892573a7b1241d89cdd209c5dadcbe17940e"
"crossbario/autobahn-js","refs/tags/v0.9.8","68e867fa82714553b613e750daef1fc25c8c03df"
"crossbario/autobahn-js","refs/tags/v0.9.8^{}","40c762fc162f6f96b6bf1f1ad251124f41983d53"
"crossbario/autobahn-js","refs/tags/v0.9.9","778f651383b4099bc08153e4a128e07bf5e8702c"
"crossbario/autobahn-js","refs/tags/v0.9.9^{}","ac254578644d7e0fcfd38ed8867f94481bd806c5"
"crossbario/autobahn-js","refs/tags/v17.5.1","66245c6fc73a2053d0240ad09a7b5863a8048560"
"crossbario/autobahn-js","refs/tags/v17.5.1^{}","61bc85d709c3ef082f04918d65d9e918b8b4301c"
"crossbario/autobahn-js","refs/tags/v17.5.2","ccd2fd608856a222a0b6b3b2205e9ece62dbb891"
"crossbario/autobahn-js","refs/tags/v17.5.2^{}","8d3f6bbc1b189b33f5c32b9a2273e20aaa2c0c7c"
"crossbario/autobahn-js","refs/tags/v18.3.1","a6b2e32937eb6ab2b128405ab4b6cdcfe3a2fd6c"
"crossbario/autobahn-js","refs/tags/v18.3.1^{}","0430d19d8553f1367afe985d969139c6ed79f448"
"crossbario/autobahn-js","refs/tags/v18.3.2","8a03d3c38a645444ed322b9c3f5284e9a35d43ac"
"crossbario/autobahn-js","refs/tags/v18.3.2^{}","cac3f82c9aa6bf44e6ae97358d9b89a7f54e86b0"
"crossbario/autobahn-python","HEAD","b655872292f488d2b7a8e2354354348c439d95b0"
"crossbario/autobahn-python","refs/heads/add_correlation_is_last","9ab29ef5570d10d3810cb006384881a724a9be5a"
"crossbario/autobahn-python","refs/heads/apprunner_tx_reconn","f2d19705696115ea04680c0215ff40d64317d013"
"crossbario/autobahn-python","refs/heads/big_polish","eb22576bb26255f6d0ae64e53636cddad8e12921"
"crossbario/autobahn-python","refs/heads/cleanups2","f65ac8adf0a2d73e22f74937727787a5914b74db"
"crossbario/autobahn-python","refs/heads/examples-js","7891e9c0069c6e2f15be0fa61eef06406a4beb42"
"crossbario/autobahn-python","refs/heads/expand_msg_correlation","70c9a14ea680b7adbd7296ab8ffb1643657e383e"
"crossbario/autobahn-python","refs/heads/fab2","7d841802ea9fb41d1499e7849eff9b3e41a143ce"
"crossbario/autobahn-python","refs/heads/fix_629","56bca8a7fd08a9e0dc1978c20c3e69ce3a909cf1"
"crossbario/autobahn-python","refs/heads/fix_786","2f4c220b2e2952d975b94fd4203340a2bd24c983"
"crossbario/autobahn-python","refs/heads/fix_791","064dc75dcdb05b3f1a0b71ee8196398e4fdc4bc2"
"crossbario/autobahn-python","refs/heads/fix_cs_test","3dd6de153b202ec1e889f761f27f87616b1208ae"
"crossbario/autobahn-python","refs/heads/fix_rawsocket_and_ex","2408759914c3fafa5c67e97771e456f402143fc6"
"crossbario/autobahn-python","refs/heads/fix_travis","76d56575c21329f86a34e4501ae30de0cb2ffcd5"
"crossbario/autobahn-python","refs/heads/improve_choosereactor","0c8e32db94c23b0dab4636bd6b4a428b50968e18"
"crossbario/autobahn-python","refs/heads/master","b655872292f488d2b7a8e2354354348c439d95b0"
"crossbario/autobahn-python","refs/heads/meejah-issue709-js","8e0dcd591fe470e47e795b8f11477b6ed0310f69"
"crossbario/autobahn-python","refs/heads/move_docs_to_rtd_issue659","5d2b2a937fb73eb454a5071e04596285bf16fa28"
"crossbario/autobahn-python","refs/heads/multisocket","d41b0d983eeb339a0166040ffcb72e7a7c0bcce7"
"crossbario/autobahn-python","refs/heads/muxed_wamp","c5e329ac5ee12342ea3ccf3e863bf05fc2400dbb"
